customerID,tenure,MonthlyCharges,TotalCharges,Contract,InternetService,PaymentMethod,Churn,gender,SeniorCitizen,Partner,Dependents,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling
7590-VHVEG_0012,53.59288630064025,115.45193456794551,5984.575098430983,0,2,3,0,Male,0,Yes,No,Yes,No phone service,No,No internet service,No,No internet service,Yes,Yes,Yes
7590-VHVEG_0013,7.16062875746841,70.7634281957076,473.3880401789945,0,1,1,0,Male,0,Yes,No,Yes,Yes,Yes,No internet service,No,No,No internet service,No,Yes
7590-VHVEG_0014,6.020369662489901,53.826306810433366,212.54578385787661,0,2,2,1,Female,1,No,Yes,Yes,Yes,No,Yes,No,No,Yes,No internet service,Yes
7590-VHVEG_0015,6.078342684967712,73.43407665867166,376.3933204788477,0,2,0,1,Female,0,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes
7590-VHVEG_0016,10.882611883814313,54.28313007796736,474.1739091120828,1,2,0,0,Male,1,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No internet service,Yes
7590-VHVEG_0017,22.317834925825633,67.32325585284968,1374.411567349171,1,2,3,1,Male,1,Yes,No,Yes,No,Yes,No,No,No internet service,Yes,Yes,Yes
7590-VHVEG_0018,16.9661120034101,34.56299531910413,485.988407281415,1,2,0,1,Female,0,Yes,No,Yes,Yes,No internet service,No,No internet service,No internet service,No,No,Yes
7590-VHVEG_0019,10.326689776618245,64.78536995350987,732.3002811842512,0,1,0,1,Male,0,No,No,Yes,Yes,No,Yes,No,Yes,No,No,Yes
7590-VHVEG_0020,28.39112621699396,53.05369009912063,1455.275038985443,0,0,2,0,Male,0,No,No,Yes,Yes,No internet service,No,No,No internet service,No internet service,Yes,Yes
7590-VHVEG_0021,4.50703586182016,36.93158436578301,55.65945255093456,2,0,2,0,Male,1,Yes,No,Yes,No,No,No internet service,Yes,No,No,No,Yes
7590-VHVEG_0022,10.365465360072069,114.39339670181606,1261.1421980731056,0,1,2,0,Female,0,Yes,Yes,Yes,No,No,Yes,No internet service,Yes,Yes,No,Yes
7590-VHVEG_0023,13.688316546625412,37.90661575149585,531.7749663989619,2,0,2,0,Female,1,No,No,Yes,No,No internet service,No,No,No,No internet service,No,No
7590-VHVEG_0024,18.26804063579325,65.17410558604844,954.236655247,0,1,2,1,Male,1,Yes,No,Yes,No,Yes,No,No,No internet service,No,No,Yes
7590-VHVEG_0025,46.13808033092736,44.92979912628107,2172.5371155663634,1,2,1,0,Female,0,Yes,No,Yes,No,No,No,Yes,Yes,No internet service,No,Yes
7590-VHVEG_0026,6.6820758638607085,72.42598677199688,491.16327733910066,0,1,3,1,Male,0,No,No,Yes,No,No internet service,No,No internet service,No internet service,No internet service,Yes,No
7590-VHVEG_0027,21.660874650993833,33.14037163827706,794.8868288514768,0,0,2,0,Female,0,Yes,Yes,Yes,No,No internet service,No,No,No,No,Yes,Yes
7590-VHVEG_0028,26.925141639292818,86.00892059838878,2293.2801355182137,0,0,2,0,Male,0,Yes,No,Yes,No phone service,No,No internet service,No,No,Yes,Yes,No
7590-VHVEG_0029,1.4269154926922563,115.90390465897103,325.8541402095152,1,0,0,1,Female,0,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No internet service,Yes
7590-VHVEG_0030,28.059990619488303,44.01151907248325,1196.7739479773777,0,0,3,1,Female,0,Yes,No,Yes,Yes,No,No,No,No,Yes,No,Yes
7590-VHVEG_0031,5.608837559322493,95.42422156703302,271.6350610429657,1,2,0,1,Female,0,Yes,No,Yes,No,No internet service,Yes,Yes,No internet service,Yes,No,Yes
7590-VHVEG_0032,2.0179179263791274,55.45301639010775,22.96260922290881,0,1,2,1,Male,0,Yes,Yes,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No,Yes
7590-VHVEG_0033,72.0,102.64477802690215,7440.637930867065,0,1,1,0,Male,0,No,Yes,Yes,No phone service,No,No,No internet service,No,Yes,No,No
7590-VHVEG_0034,72.0,119.71247465239978,8635.206827557171,2,0,2,1,Female,1,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No internet service,No internet service,Yes
7590-VHVEG_0035,49.5699471843863,59.15737470728853,2920.176515822762,2,2,1,0,Male,0,Yes,No,Yes,Yes,No,No,Yes,No internet service,Yes,Yes,Yes
7590-VHVEG_0036,10.898635799062749,26.993347977633704,195.55206147593788,1,2,2,0,Male,0,No,Yes,Yes,No,Yes,No internet service,No internet service,No,No,Yes,No
7590-VHVEG_0037,3.0833194500751873,88.70210968590224,275.33885867589913,0,0,0,1,Female,0,No,No,Yes,No phone service,Yes,Yes,No internet service,No,Yes,No,Yes
7590-VHVEG_0038,34.58252289295985,70.6104301986029,2440.449257512964,0,2,1,1,Male,0,No,No,No,Yes,No,No,No,No,Yes,No internet service,Yes
7590-VHVEG_0039,17.40272527756195,77.54477919444102,1347.0255820956922,2,2,3,0,Female,0,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes
7590-VHVEG_0040,3.9045670186334593,56.50387395389087,274.3901744855741,0,1,0,0,Male,1,Yes,Yes,Yes,No,No internet service,No,No,No internet service,No internet service,No,Yes
7590-VHVEG_0041,20.506416844024503,42.887679533482526,897.6495235249128,2,1,0,1,Female,0,No,Yes,Yes,Yes,Yes,Yes,No,No,No internet service,Yes,No
7590-VHVEG_0042,1.0498116433043725,94.00870452417436,73.4618649935907,0,1,1,1,Female,0,No,Yes,Yes,No phone service,No,No,No internet service,Yes,Yes,No internet service,No
7590-VHVEG_0043,72.0,72.99474986390082,5155.365505201104,2,1,3,0,Female,0,No,Yes,No,Yes,Yes,No internet service,No,Yes,No,No internet service,No
7590-VHVEG_0044,8.983733305220582,28.911074145406864,395.72890674603804,0,2,0,0,Male,1,Yes,No,Yes,No phone service,Yes,Yes,No internet service,No,Yes,No,Yes
7590-VHVEG_0045,32.58767395694941,82.17188058007234,2875.950593037915,0,0,0,0,Female,1,Yes,No,Yes,Yes,No,No internet service,No internet service,No internet service,Yes,No internet service,No
7590-VHVEG_0046,11.20639744972871,77.15421494916251,1039.0417799013217,1,1,2,0,Female,1,No,No,Yes,No phone service,No internet service,No,No,No,No internet service,No,Yes
7590-VHVEG_0047,22.02332687727686,56.8675268919109,1322.3202221173035,2,1,0,0,Female,1,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes,No
7590-VHVEG_0048,23.736713939453928,105.49533085605805,2336.604410432121,2,1,1,1,Female,0,Yes,No,Yes,Yes,No,No,No,Yes,No internet service,No,No
7590-VHVEG_0049,6.131657985237172,49.54567094131839,124.06361106794134,1,2,3,0,Male,0,Yes,No,Yes,No,No,No,No,No,No,No,Yes
7590-VHVEG_0050,72.0,60.77533754612896,4320.982014408476,1,1,0,0,Male,0,Yes,Yes,Yes,Yes,No,No internet service,No,No internet service,No,Yes,Yes
7590-VHVEG_0051,44.767361314144225,84.21620219920496,3764.6619967687584,1,0,2,0,Female,1,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No
7590-VHVEG_0052,72.0,66.91907375826804,4808.590602519468,1,2,2,0,Male,0,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No internet service,No
7590-VHVEG_0053,67.5645599260259,30.389421141039087,2072.623049068561,2,0,3,0,Male,0,No,No,No,No phone service,No internet service,No,Yes,No,No,Yes,No
7590-VHVEG_0054,27.33163237149825,69.59498432483574,1762.899873816275,0,0,3,0,Male,0,No,No,Yes,Yes,No,No,No,No,No internet service,No internet service,Yes
7590-VHVEG_0055,72.0,54.640255200869184,4094.8403091707164,1,1,1,0,Male,0,Yes,Yes,Yes,No,No,No,No internet service,Yes,No,No,Yes
7590-VHVEG_0056,2.7796637685934686,86.42490612290658,390.7560491945766,1,1,2,1,Female,0,No,Yes,Yes,No,No internet service,No,Yes,No,No internet service,Yes,No
7590-VHVEG_0057,6.544040838938024,68.7804585998785,318.96674080650234,1,1,2,0,Female,1,No,No,Yes,No phone service,No,No,No,No,No,No internet service,No
7590-VHVEG_0058,1.3884589706049586,67.36269132618477,0.0,2,1,1,0,Male,1,No,Yes,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,Yes,Yes
7590-VHVEG_0059,11.805962604092604,38.79372090702371,449.022684700416,0,0,0,1,Female,0,No,Yes,No,No phone service,No,No,No,Yes,No internet service,No,Yes
7590-VHVEG_0060,14.763908753826557,59.249367302149864,1000.9613021734799,0,1,3,0,Female,0,Yes,No,Yes,No,No,No,No,Yes,No,Yes,No
7590-VHVEG_0061,9.49681329626477,89.25252735031634,844.3965319528178,0,0,1,1,Male,0,No,No,Yes,Yes,No internet service,No,Yes,No,No internet service,Yes,Yes
7590-VHVEG_0062,52.93673595722802,45.58659138646573,2439.2008820698043,0,2,0,1,Male,0,No,No,Yes,No phone service,No,No,No,No,No,No internet service,Yes
7590-VHVEG_0063,13.236809985896105,64.18624442280715,805.6499650893487,0,1,3,0,Female,0,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,No
7590-VHVEG_0064,9.894085204027476,41.58884870877476,426.1115170431609,2,2,2,0,Male,0,Yes,No,Yes,No,Yes,No,Yes,No,No,No,Yes
7590-VHVEG_0065,23.47221249623238,35.40393397370827,925.4563746533116,1,2,0,1,Female,0,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes
7590-VHVEG_0066,4.556944434618866,62.87852387526618,327.74485994416744,2,1,0,0,Female,0,Yes,Yes,Yes,No phone service,No,No,No,No,No,No internet service,No
7590-VHVEG_0067,48.614507873241934,69.34502912193346,3428.725336994094,0,2,0,0,Male,1,Yes,Yes,Yes,No phone service,No,No,No internet service,No,Yes,No internet service,Yes
7590-VHVEG_0068,2.32427606433927,114.84657348081487,100.61169388889022,2,2,3,1,Male,0,No,No,Yes,No,Yes,Yes,No,No,Yes,No internet service,No
7590-VHVEG_0069,72.0,53.61349040384478,4073.9995407226993,1,1,3,0,Male,1,Yes,No,No,Yes,Yes,No,No internet service,No,No internet service,Yes,No
7590-VHVEG_0070,44.38451328724534,63.745768309152936,2664.1995162142593,0,2,1,1,Male,0,Yes,No,Yes,No,Yes,No,No internet service,No internet service,No,No,No
7590-VHVEG_0071,6.6461832151765785,33.748162050726876,239.9386702066669,1,0,3,0,Female,0,No,Yes,Yes,Yes,No,No,No,No internet service,No,Yes,Yes
7590-VHVEG_0072,1.0,80.30600037267286,65.26122574752432,2,1,1,1,Male,0,No,Yes,Yes,No,Yes,No,No,No,No,Yes,No
7590-VHVEG_0073,50.69690332458378,74.95236948383202,3789.162380661241,0,2,2,0,Female,0,No,Yes,Yes,Yes,Yes,No internet service,No,No internet service,No internet service,No internet service,Yes
7590-VHVEG_0074,36.81287722161134,102.20986694228571,3849.621850723197,1,0,1,0,Male,0,Yes,No,Yes,No phone service,No internet service,No,No internet service,No,No internet service,No,Yes
7590-VHVEG_0075,39.16988726363997,92.79055378771773,3563.8144508959563,2,2,2,0,Male,0,Yes,No,Yes,No,Yes,No,Yes,No internet service,No internet service,No internet service,No
7590-VHVEG_0076,44.256435781305406,73.78516672105707,3222.1977298096663,0,2,0,1,Male,0,No,Yes,No,Yes,No,No,Yes,No internet service,No,No,No
7590-VHVEG_0077,2.3078779654138906,53.24821251028249,8.229856715604967,1,2,0,0,Male,0,No,Yes,Yes,Yes,Yes,No internet service,No internet service,No internet service,No internet service,Yes,Yes
7590-VHVEG_0078,13.316780172486974,70.1167109472515,1045.9447111438699,0,1,0,1,Male,0,Yes,Yes,Yes,Yes,No,No,No,No internet service,No,Yes,No
7590-VHVEG_0079,3.6945031381334896,62.224663446705975,256.49775647985956,0,2,0,1,Male,0,No,Yes,Yes,Yes,No internet service,No,No internet service,No internet service,Yes,No,Yes
7590-VHVEG_0080,59.65588714974668,88.83493833094948,5363.24886516136,1,1,3,0,Female,0,Yes,No,Yes,No,No,No,No,No,Yes,No,No
7590-VHVEG_0081,29.289035751371223,85.6557872490617,2589.9738003130174,0,1,3,1,Female,0,Yes,No,Yes,Yes,Yes,No internet service,No internet service,No internet service,No,No internet service,Yes
7590-VHVEG_0082,12.054564037539029,57.589613908631115,893.3589648201269,1,1,3,0,Male,0,No,Yes,Yes,No phone service,Yes,No,No,No,No internet service,No,Yes
7590-VHVEG_0083,1.9700419741434867,28.450155504328052,237.74258303502236,0,2,0,1,Male,0,No,Yes,Yes,No,Yes,Yes,Yes,No internet service,No,No internet service,Yes
7590-VHVEG_0084,11.174650512310611,98.33468250551061,1131.1598726168436,0,1,1,1,Male,0,Yes,No,Yes,No,No internet service,No,No,No,No,Yes,No
7590-VHVEG_0085,11.799426395523941,79.54684892058012,954.4034586095443,1,1,1,1,Male,0,No,No,Yes,Yes,No,No,No,No,No,Yes,No
7590-VHVEG_0086,39.236273518732226,57.012748235683276,2183.753596833705,0,1,1,0,Female,0,No,Yes,Yes,No,No,Yes,No internet service,No,No,Yes,Yes
7590-VHVEG_0087,30.4466807677806,78.57183370259177,2466.6673159714205,0,1,0,1,Female,1,Yes,No,Yes,No,No,No,Yes,No,No,No,No
7590-VHVEG_0088,65.46755737204545,66.87153265625072,4448.6271966259055,2,2,2,0,Female,0,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No
7590-VHVEG_0089,19.171984001289292,97.96544815548684,1805.2528712791118,2,1,0,1,Female,0,No,No,No,No,No,No,No,No,No internet service,No,Yes
7590-VHVEG_0090,3.821171808465057,18.0,140.7593877191003,2,1,3,0,Female,0,No,Yes,Yes,No,No internet service,No,No,No,Yes,Yes,Yes
7590-VHVEG_0091,37.47379032949798,55.07022583716419,2164.5255457893945,1,2,2,0,Male,0,No,Yes,Yes,Yes,No internet service,No,Yes,Yes,Yes,No,No
7590-VHVEG_0092,42.911782592305926,104.97636288696721,4392.55819924159,2,1,1,0,Male,0,No,Yes,Yes,Yes,No,No,No internet service,No,Yes,No,No
7590-VHVEG_0093,24.716624846574863,79.0799600866828,1973.5811034366636,2,2,2,0,Female,1,Yes,No,No,No,No,Yes,No internet service,No,No,No internet service,Yes
7590-VHVEG_0094,44.21669900164093,109.31516670785521,4826.98292820019,0,0,0,1,Female,0,Yes,Yes,Yes,No phone service,No internet service,No,No,Yes,Yes,No,No
7590-VHVEG_0095,20.424441945308338,34.45482267091339,703.1818747165552,0,1,0,0,Male,0,Yes,No,Yes,No,No,Yes,Yes,No,No internet service,Yes,Yes
7590-VHVEG_0096,22.19036516331801,91.80491789846218,1941.919329015358,0,0,1,1,Male,0,No,No,No,No phone service,No,No,No,No,Yes,No,Yes
7590-VHVEG_0097,16.73442581725282,90.30561058634582,1328.5569653260018,0,0,3,0,Male,0,No,No,No,Yes,Yes,No,Yes,No,No internet service,No internet service,Yes
7590-VHVEG_0098,1.0,22.956786616779148,0.0,2,2,0,0,Female,0,No,Yes,Yes,Yes,No,No,Yes,No,No internet service,No,Yes
7590-VHVEG_0099,3.4250230557559753,57.6124427616729,107.778113385211,1,1,2,0,Male,0,No,No,Yes,Yes,No,Yes,No internet service,Yes,Yes,No,Yes
7590-VHVEG_0100,1.0,62.33677237014792,97.65907912483344,1,2,0,1,Female,0,Yes,Yes,Yes,No,No internet service,Yes,Yes,No,No,No internet service,Yes
7590-VHVEG_0101,30.351886527826483,24.51109928081486,780.9094156752244,0,1,0,0,Female,0,No,No,Yes,Yes,No,No internet service,No internet service,Yes,Yes,No internet service,No
7590-VHVEG_0102,11.321901263852995,58.13494183698903,689.4572944735795,0,1,0,1,Female,0,No,Yes,Yes,No,No internet service,No,No,No internet service,Yes,No internet service,Yes
7590-VHVEG_0103,21.3131153140257,86.82957851946514,1710.9357523307967,0,2,2,0,Female,0,Yes,No,Yes,No,Yes,No internet service,Yes,Yes,No,No,No
7590-VHVEG_0104,71.43796589537926,55.226923511881495,3833.343240901354,2,2,2,0,Female,0,Yes,No,Yes,No,No,No internet service,Yes,No,Yes,No,Yes
7590-VHVEG_0105,8.60216468949895,71.05332889185065,549.5451683570104,0,2,2,1,Female,1,No,No,Yes,No,Yes,Yes,No internet service,No,No,Yes,No
7590-VHVEG_0106,15.848459246480179,71.2342570681913,1131.2675213551167,2,2,0,0,Female,0,No,No,Yes,Yes,No internet service,No internet service,No,No,Yes,No internet service,Yes
7590-VHVEG_0107,42.2624744261575,64.69641472153084,2700.7198180999744,0,0,0,0,Female,0,No,Yes,Yes,Yes,No,No,No,No,No,No internet service,No
7590-VHVEG_0108,7.794154707521821,47.37044939936428,400.2765211399582,1,2,2,1,Female,0,Yes,No,Yes,Yes,Yes,No,No internet service,No internet service,Yes,No,No
7590-VHVEG_0109,2.4031283565052908,81.47034937209744,293.33073846423133,1,1,0,0,Female,0,No,Yes,Yes,No phone service,No,No,Yes,No,Yes,Yes,No
7590-VHVEG_0110,10.264209116611712,25.32415596185021,160.0030517314866,2,1,0,0,Male,0,Yes,No,Yes,No,No internet service,Yes,No,No,Yes,Yes,Yes
7590-VHVEG_0111,5.274250755001885,65.21470346270456,247.83164906034608,0,2,1,0,Male,0,No,Yes,Yes,Yes,No,No,No internet service,No internet service,No,No internet service,No
7590-VHVEG_0112,72.0,99.63715851295221,7187.411411541781,0,1,2,1,Male,0,No,No,No,No,No,No,No internet service,Yes,Yes,No internet service,Yes
7590-VHVEG_0113,49.526612414537084,53.81566875396962,2657.104704576051,0,2,2,0,Male,0,Yes,No,Yes,Yes,No internet service,No,No,No,No,Yes,Yes
7590-VHVEG_0114,30.10482571561593,46.81696946244307,1483.7530623508533,2,1,0,0,Male,0,No,Yes,Yes,No,Yes,No,No,No,Yes,No internet service,No
7590-VHVEG_0115,61.54559191562439,83.13790346938444,5117.529145625114,0,0,2,1,Male,0,Yes,Yes,Yes,No phone service,No internet service,No,Yes,No,No,Yes,No
7590-VHVEG_0116,48.839068222216696,69.0857940146783,3548.1379300526223,0,1,2,1,Male,1,Yes,No,Yes,No,No,Yes,No,No internet service,Yes,Yes,Yes
7590-VHVEG_0117,6.194864290759172,83.63618205142332,359.32732071965734,1,1,1,1,Female,1,Yes,No,Yes,No,No,No,No,No,Yes,No,Yes
7590-VHVEG_0118,66.92440215706684,65.96246214238181,4498.5200296834655,1,1,0,0,Female,0,No,Yes,Yes,No phone service,No,Yes,No internet service,No,No internet service,No internet service,Yes
7590-VHVEG_0119,23.25299705898516,18.0,438.4865666722488,2,1,2,0,Female,0,No,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes
7590-VHVEG_0120,49.42044873910699,94.49783526064247,4529.8253167524035,2,2,2,1,Female,0,No,Yes,Yes,No,No,No internet service,No internet service,Yes,Yes,Yes,Yes
7590-VHVEG_0121,67.92727947858694,116.7506595619569,7723.758752639129,1,0,0,1,Female,0,No,No,Yes,No phone service,No internet service,No,No,Yes,No internet service,No,Yes
7590-VHVEG_0122,11.481921492549553,97.10102517090716,1002.4044412003701,2,1,2,0,Male,0,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No
7590-VHVEG_0123,3.497764803715525,18.0,183.86853761415531,1,2,1,0,Male,0,No,No,Yes,No,No,Yes,No,Yes,No,No internet service,No
7590-VHVEG_0124,7.760602384181441,76.27720531263915,701.4802170008022,0,2,3,0,Male,0,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes
7590-VHVEG_0125,16.71173078245843,53.33135473562385,878.3939941049989,2,1,0,0,Male,0,No,Yes,Yes,No,No internet service,Yes,No,Yes,No,Yes,Yes
7590-VHVEG_0126,51.114891799168355,37.89390615970727,1900.7156148520148,1,2,0,0,Male,0,Yes,No,No,Yes,No,No,No internet service,No,No,Yes,Yes
7590-VHVEG_0127,59.140349156395,68.06830404095683,3939.9735678037196,0,0,2,0,Male,0,Yes,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,Yes,Yes
7590-VHVEG_0128,1.0,61.276317627506984,42.537385691856244,1,1,1,0,Male,1,No,Yes,Yes,Yes,No,No,No,No,No internet service,Yes,Yes
7590-VHVEG_0129,21.446284780156674,77.71644510699602,1619.312845316218,0,2,1,1,Female,1,No,No,Yes,No,No internet service,No internet service,No,No,Yes,No internet service,Yes
7590-VHVEG_0130,16.208199627560138,66.41450473263635,1247.4537559720675,0,2,2,0,Male,1,No,No,Yes,No phone service,No internet service,No internet service,No,Yes,Yes,No internet service,Yes
7590-VHVEG_0131,7.535020148274735,36.979697327775575,154.98720442701693,1,1,2,0,Female,1,No,No,Yes,Yes,No,No,Yes,No,No,No,Yes
7590-VHVEG_0132,3.8304117463694043,50.584955581425724,233.00497845629042,2,0,2,0,Male,0,No,Yes,Yes,Yes,No internet service,No internet service,No internet service,No,No,Yes,No
7590-VHVEG_0133,12.357257395872974,46.5510360918746,750.9502691849838,1,0,0,0,Female,0,No,No,Yes,Yes,Yes,No internet service,No,Yes,No,No internet service,No
7590-VHVEG_0134,72.0,22.087920581388843,1667.788563442242,0,1,2,0,Male,0,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No internet service,Yes,Yes
7590-VHVEG_0135,11.711514086444232,30.708883901152916,247.21985603491686,2,2,1,1,Male,0,No,No,No,No,No,No,Yes,No,Yes,No,No
7590-VHVEG_0136,21.943584172804556,59.72328325287015,1156.3098733766697,0,1,0,1,Male,1,No,Yes,Yes,Yes,Yes,No,No,No,No internet service,No,Yes
7590-VHVEG_0137,36.42260930642565,100.59385188268197,3691.3306862566114,0,1,0,1,Male,0,No,Yes,Yes,No phone service,Yes,No,No internet service,No internet service,No,No internet service,No
7590-VHVEG_0138,13.55923496900887,51.61107300753013,714.858986468642,0,1,0,0,Female,0,No,Yes,Yes,No phone service,Yes,No internet service,No,Yes,No,No internet service,Yes
7590-VHVEG_0139,72.0,46.06423063118026,3439.8655151696466,0,2,1,0,Female,1,Yes,Yes,No,No,No,No,No,No,No internet service,No internet service,No
7590-VHVEG_0140,72.0,35.46782983317935,2608.528532857356,0,0,1,0,Female,0,No,No,Yes,Yes,No internet service,No,No internet service,No,Yes,No,Yes
7590-VHVEG_0141,8.701838849766158,65.76341237488377,523.7786242800696,1,2,3,1,Female,0,No,No,Yes,Yes,Yes,No,No internet service,Yes,Yes,Yes,Yes
7590-VHVEG_0142,20.629778353915416,94.48148336525315,1893.8605875135274,2,2,3,0,Female,0,No,No,Yes,Yes,Yes,No internet service,Yes,No internet service,No internet service,No internet service,Yes
7590-VHVEG_0143,10.737913802371404,115.0670691602148,1104.964500086,2,1,3,0,Female,0,No,No,Yes,No,Yes,No,No internet service,No,No,Yes,Yes
7590-VHVEG_0144,10.057490291432451,72.13498441804217,738.4333392850651,2,2,2,0,Male,0,No,No,Yes,No phone service,Yes,Yes,No,No,No,No,Yes
7590-VHVEG_0145,1.127534332965676,68.49984356591087,0.0,0,2,3,0,Male,1,Yes,No,Yes,No,Yes,No,No,No,Yes,No internet service,No
7590-VHVEG_0146,28.214762129477794,51.413172318661424,1541.6094620523368,1,0,0,0,Female,0,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No internet service,Yes
7590-VHVEG_0147,20.955588984889154,55.58583446272472,1223.7494215048325,2,1,2,0,Female,0,Yes,Yes,No,No phone service,No,No,No,No internet service,No,No,Yes
7590-VHVEG_0148,1.5855326214117744,80.72937727626757,183.74466122504813,0,2,1,0,Female,1,Yes,No,Yes,Yes,No internet service,Yes,No,No internet service,No,Yes,No
7590-VHVEG_0149,9.798777630311081,57.128116698423014,427.6030007915291,1,1,0,0,Female,0,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
7590-VHVEG_0150,71.66582853268021,60.942938820814646,4352.529863699109,0,1,0,0,Male,0,No,Yes,Yes,Yes,Yes,No,No internet service,Yes,No internet service,No,Yes
7590-VHVEG_0151,8.215816564262312,64.3663181312394,489.8913006078572,0,1,2,1,Female,0,Yes,Yes,Yes,No,No internet service,No,No,No,No,No,No
7590-VHVEG_0152,4.695925829564093,50.2292972273131,246.15369269653425,1,2,0,0,Male,0,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes
7590-VHVEG_0153,20.168163284209086,63.12551852306122,1325.9770530540588,1,1,2,0,Male,0,Yes,Yes,Yes,No phone service,No,No,No,No,No,Yes,No
7590-VHVEG_0154,72.0,18.0,1244.6402949564658,1,1,3,0,Male,0,No,Yes,Yes,No phone service,No,No,No internet service,No,No,Yes,Yes
7590-VHVEG_0155,8.314344406791786,78.72089707546155,606.9142978644733,0,1,0,1,Male,0,No,No,Yes,No phone service,No,Yes,Yes,No internet service,Yes,Yes,Yes
7590-VHVEG_0156,33.4546503089188,120.0,4082.5508207237876,1,2,1,0,Female,0,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes
7590-VHVEG_0157,43.01662878718388,51.19890962092334,2089.45449319352,2,0,2,0,Male,1,Yes,No,Yes,No,No,No,No,No internet service,No,Yes,No
7590-VHVEG_0158,8.139995170074174,74.34592862504175,530.5093562804495,2,1,0,1,Female,1,No,No,Yes,No phone service,No internet service,No internet service,No,No,Yes,No,Yes
7590-VHVEG_0159,39.08246785476948,86.28940800615462,3372.9866978110304,0,1,3,0,Female,0,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No
7590-VHVEG_0160,13.75568397792912,97.00538181793654,1424.3474137488397,0,0,3,1,Female,0,No,No,Yes,No,No,No,No,No internet service,No internet service,Yes,Yes
7590-VHVEG_0161,30.01511243195314,58.391962781495515,1655.7638541681101,1,1,0,1,Male,1,Yes,Yes,Yes,No,No,Yes,No internet service,No,Yes,No,No
